mean_reward,person_escaped,person_dead,time-consuming,avg_health
1995.6730498942013,140,0,99,97.22203616210182
2010.4709693371924,140,0,99,97.7668560125227
2022.015190954352,140,0,100,97.59356411178916
2002.8872027148943,140,0,99,96.9594732753336
1994.3619639798546,140,0,99,97.56513726852579
1987.6225458791291,140,0,99,97.160200452648
2024.477934943063,140,0,100,98.09629201159325
1984.018316076966,140,0,99,97.07913257682532
2002.4225085059913,140,0,99,97.89039341042472
1996.0727727551234,140,0,99,97.7364455706054
1988.0750068053756,140,0,99,97.38971724477044
1998.9628969722735,140,0,99,97.65144560188234
2030.6828429551786,140,0,100,98.19735117871167
2023.5922425593067,140,0,100,97.49711484151025
2009.090374937086,140,0,99,97.72280629851086
2017.4846759147138,140,0,100,97.74359268083543
1987.1929687291724,140,0,99,97.78751788661643
2057.9545791551727,140,0,100,98.41924456223686
2005.9136397385196,140,0,99,97.87648523387175
2002.252553095145,140,0,99,98.00320744216422
2015.9350346520666,140,0,100,97.51846025711467
1983.9888845387989,140,0,99,97.04759152512882
2021.5843178963644,140,0,100,97.97125832649566
1996.9054219525513,140,0,99,97.50859072020691
2000.2232556336303,140,0,99,97.81989549593989
2001.0025066387186,140,0,99,97.62481031563665
1981.789912602914,140,0,99,96.48746884417494
1994.4679144218603,140,0,99,97.58343732279644
1990.8532447973034,140,0,99,97.25399765187937
2002.4934857376181,140,0,99,97.35061614579604
1998.1257202430222,140,0,99,98.07577111445599
1978.0284091265203,140,0,99,96.27879467037467
2021.0025177328466,140,0,100,97.26292715244513
1989.8730524876764,140,0,99,97.47792186102305
2014.9518943967666,140,0,100,97.2663298223996
1985.6314601896768,140,0,99,97.41080480127282
2010.9944554353224,140,0,99,98.20903033804663
1995.4844367121307,140,0,99,97.68454726582712
2018.692205117528,140,0,100,97.76726034764629
2021.0632859536163,140,0,100,97.23645141480293
1997.326158027554,140,0,99,98.02652138891219
1997.0455042267197,140,0,99,97.82541343480479
1981.7685251290818,140,0,99,97.48904494762294
2014.9769999110529,140,0,99,98.37524357417495
1990.6923781702073,140,0,99,97.12323506864591
2012.8881659855788,140,0,99,97.66706296117069
2031.1184416485312,140,0,100,97.73469259677624
2022.83692449036,140,0,100,97.33435061684284
2000.0293767024114,140,0,99,97.63154769871284
2025.8135385170792,140,0,100,97.72609466234904
2028.7550370947738,140,0,100,97.66763815066632
2010.6040015019476,140,0,99,97.41335770941559
1990.9729589374958,140,0,99,96.79722491206203
2003.3973132861258,140,0,99,97.33679929403274
2004.952272173055,140,0,100,96.34057943101332
1984.3976094046739,140,0,99,97.37865105364943
1990.3272050157218,140,0,99,97.66821433341944
2029.1207781491255,140,0,100,98.36442942027684
2046.7898414661263,140,0,100,98.1055174052832
1980.5613336919535,140,0,99,97.37262938015687
2025.444537431138,140,0,100,97.70481440415924
2033.5107318057228,140,0,100,98.22875215558925
1992.974417863278,140,0,99,96.78509241934037
1992.1993077938744,140,0,99,97.67293641846192
2020.2114948429187,140,0,100,96.84110431734854
1985.7640053398443,140,0,99,97.26706981258086
1983.6477094125516,140,0,99,96.97939215824056
